PROGRAMA;ANUNCIANTE;FORMATO;ELENCO; CUSTO DE PRODUCAO ;CACHE EXTRA
Encontro;PANTENE;Ação;Patrícia Poeta;5550;
Encontro;BANCO DO BRASIL;Ação;Patrícia Poeta;27750;
Encontro;PANTENE;Ação;Patricia Poeta;5550;
Encontro;BANCO DO BRASIL;Ação;Patrícia Poeta;27750;
Encontro;BEYOUNG;Ação;Patricia Poeta;6660;
Encontro;BYJU'S;Ação;Fátima Bernardes;4440;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Mona Lisa Duperron ;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e André Curvello;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Tati Machado;2220;
Encontro;VICK VAPORUB;Ação;Fátima Bernardes;5550;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;BRITANIA;Ação;Fátima Bernardes;3330;
Encontro;LACTA;Ação;Fátima Bernardes_ André Curvello e Mona Lisa Duperron;4440;
Encontro;BRADESCO SEGUROS;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;PAMPERS CONFORT SEC;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;VICK VAPORUB;Ação;Fátima Bernardes;5550;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;PROCTER;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes _ Apresentador BEST;3330;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;SEARA;Patrocínio;Patrícia Poeta;3330;
Encontro;OI;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes;4440;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;VICK 44 E;Ação;Fátima Bernardes;2220;
Encontro;SERASA;Ação;Fátima Bernardes;2220;
Encontro;DOVE;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Curvello;2220;
Encontro;FLOGORAL;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima_ Monalisa e Curvello;4440;
Encontro;OI;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;PROCTER;Ação;Fátima Bernardes;2220;
Encontro;ZOETIS;Ação;Fátima Bernardes;16650;
Encontro;LYSOL;Ação;Fátima Bernardes e Mona Lisa Duperron;22220;
Encontro;VEJA;Ação;Fátima Bernardes;6660;
Encontro;BENEGRIP;Ação;Fátima Bernardes;2220;
Encontro;SHOPTIME;Ação;Fátima Bernardes;2220;
Encontro;SHOPTIME;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;EXTRA;Ação;Fátima Bernardes;2220;
Encontro;NINHO;Ação;Fátima Bernardes;3330;
Encontro;AMERICANAS;Ação;Fátima Bernardes e André Curvello;2220;
Encontro;STONE;Ação;Fátima Bernardes;2220;
Encontro;SERASA;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes;4440;
Encontro;VEJA;Ação;Fátima Bernardes;6660;
Encontro;EXTRA;Ação;Fátima Bernardes;2220;
Encontro;BANCO ORIGINAL;Ação;Fátima Bernardes;2220;
Encontro;BANCO ORIGINAL;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes ;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes ;3330;
Imperio;coca cola;Break Contextualizado;Alexandre Nero;647523;
Imperio;ITAIPAVA;Visualização;Jackson Antunes e Roberto Bonfim;196237;
Imperio;ITAIPAVA;Visualização;Sem elenco; -   ;
Imperio;ITAIPAVA;Visualização;Jackson Antunes_ Roberto Bonfim e Roberto Birindelli; -   ;
Imperio;ITAIPAVA;Visualização;Roberto Bonfim; -   ;
Imperio;ITAIPAVA;Visualização;Ailton Graça e Viviane Araujo; -   ;
Imperio;ITAIPAVA;Visualização;Sem elenco; -   ;
Imperio;ITAIPAVA;Visualização;Sem elenco; -   ;
Imperio;ITAIPAVA;Visualização;Jackson Antunes_ Roberto Bonfim e Lidi Lisboa; -   ;
Imperio;ITAIPAVA;Visualização;Sem elenco; -   ;
Live Orgulho Multishow;HEINEKEN;Ação;Gil _ Pepita;6200;
Mais Você;C E A;Ação;Ana Maria Braga;4163;
Mais Você;C E A;Ação;Ana Maria Braga;4163;
Mais Você;COMFORT;Ação;Ana Maria Braga;3330;
Mais Você;C E A;Ação;Ana Maria Braga;4163;
Mais Você;CVC;Ação;Ana Maria Braga;4000;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;C E A;Ação;Ana Maria Braga;4163;
Mais Você;OMO;Ação;Ana Maria Braga; -   ;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PROTEX;Ação;Ana Maria Braga;3330;
Mais Você;EXTRA;Ação;Ana Maria Braga;3330;
Mais Você;OMO;Ação;Ana Maria Braga; -   ;
Mais Você;GUARANA;Ação;Ana Maria Braga;4995;
Mais Você;PAGBANK;Ação;Ana Maria Braga;3330;
Mais Você;NINHO;Ação;Ana Maria Braga;4440;
Mais Você;BRAVECTO;Ação;Ana Maria Braga;3330;
Mais Você;SAZON;Ação;Ana Maria Braga e Talitha Morete;5778;
Mais Você;SUL AMERICA;Ação;Ana Maria Braga e Luiza Zveiter;6660;
Mais Você;CVC;Ação;Ana Maria Braga;4000;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGBANK;Ação;Ana Maria Braga;3330;
Mais Você;LYSOL;Ação;Ana Maria Braga;5550;
Mais Você;SAZON;Ação;Ana Maria Braga e Talitha Morete;5778;
Mais Você;INTUIT;Ação;Ana Maria Braga;3885;
Mais Você;PAGBANK;Ação;Ana Maria Braga;3330;
Mais Você;OI;Ação;Ana Maria Braga;2220;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;CVC;Ação;Ana Maria Braga;4000;
Mais Você;BRAVECTO;Ação;Ana Maria Braga;6660;
Mais Você;INTUIT;Ação;Ana Maria Braga;3885;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;SAZON;Ação;Ana Maria Braga e Talitha Morete;7444;
Mais Você;SERASA;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGBANK;Ação;Ana Maria Braga;3330;
Mais Você;RIACHUELO;Ação;Ana Maria Braga;5550;
Mais Você;CVC;Ação;Ana Maria Braga;4000;
Mais Você;OI;Ação;Ana Maria Braga;2220;
Mais Você;BRAVECTO;Ação;Ana Maria Braga;6660;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;BRAVECTO;Ação;Ana Maria Braga;6660;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PORTO SEGURO;Ação;Ana Maria Braga;2220;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3700;
Mais Você;ADIMAX;Ação;Ana Maria Braga;4440;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;BRAVECTO;Ação;Ana Maria Braga;8880;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3700;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;UBER;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3700;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;ADIMAX;Ação;Ana Maria Braga;4440;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGSEGURO;Ação;Talitha Morete;3330;
Mais Você;123 MILHAS;Ação;Fabrício Battaglini;3330;
Mais Você;AMERICANAS;Ação;Fabrício Battaglini;2775;
Mais Você;DOWNY;Patrocínio;Fabrício Battaglini_ Talitha Morete e Gil do Vigor;3885;
Mais Você;PAGSEGURO;Ação;Fabrício Battaglini;3330;
Mais Você;AMERICANAS;Ação;Talitha Morete;2775;
Mais Você;DOWNY;Patrocínio;Fabrício Battaglini_ Talitha Morete e Gil do Vigor;3885;
Mais Você;AMERICANAS;Ação;Talitha Morete;2775;
Mais Você;DOWNY;Patrocínio;Fabrício Battaglini_ Talitha Morete e Gil do Vigor;4995;
Mais Você;123 MILHAS;Ação;Fabrício Battaglini;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;DOWNY;Patrocínio;Ana Maria Braga e Gil do Vigor;3885;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;RIACHUELO;Ação;Ana Maria Braga e Ivo Madoglio (VT);14652;
Mais Você;DISNEY;Ação;Ana Maria Braga;19092;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;PAGSEGURO;Ação;Talitha Morete;3330;
Mais Você;123 MILHAS;Ação;Fabrício Battaglini;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;ADIMAX;Ação;Ana Maria Braga;3330;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;MEDLEY;Ação;Ana Maria Braga;3330;
Mais Você;DOWNY;Ação;Ana Maria Braga;5550;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;DOWNY;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;RIACHUELO;;Ana Maria Braga;4440;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;ROMMANEL;Ação;Ana Maria Braga;3330;
Mais Você;PLENITUD;Ação;Ana Maria Braga;6660;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;FORNO DE MINAS;Ação;Ana Maria Braga;5550;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;ADIMAX;Ação;Ana Maria Braga;3330;
Mais Você;CONSUL;Ação;Ana Maria Braga;5328;
Mais Você;COLGATE;Ação;Ana Maria Braga;21090;
Mais Você;COMFORT;Ação;Ana Maria Braga;3330;
Mais Você;CONSUL;Ação;Ana Maria Braga;5328;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;GUARANA;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;PLENITUD;Ação;Ana Maria Braga;3330;
Mais Você;COLGATE;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;CONSUL;Ação;Ana Maria Braga;5328;
Mais Você;SERASA;Ação;Ana _ Gil;3330;
Mais Você;SKY;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;ABRADIF;Ação;Ana Maria Braga;3330;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;RIACHUELO;Ação;Ana Maria Braga;3330;
Mais Você;SKY;Ação;Ana Maria Braga;3330;
Mais Você;GUARANA;Ação;Ana Maria Braga;8325;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;ADIMAX;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;MEDLEY;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;ação;Ana Maria Braga; -   ;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;YPE;Ação;Ana Maria Braga;6383;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;SKY;Ação;Ana Maria Braga;3330;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;YPE;Ação;Ana Maria Braga;6383;
Mais Você;SERASA;Ação;Ana Maria Braga _ Gil do Vigor;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;2775;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;NOVO NORDISK;Ação;Ana Maria Braga;7659;
Mais Você;SADIA;Ação;Ana Maria Braga;1665;
Mais Você;ADIMAX;Ação;Ana Maria Braga;3330;
Mais Você;SAZON;Ação;Ana Maria Braga;3330;
Mais Você;BURGER KING;Ação;Ana Maria Braga e Ju Massaoka;3330;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;KWAI;Ação;Ana Maria Braga e Ju Massaoka;16000;
Mais Você;AMERICANAS;Ação;Ana Maria Braga;3330;
Mais Você;123 MILHAS;Ação;Talitha Moretti e Fabricio;3330;
Mais Você;AMERICANAS;Ação;Talitha Moretti e Fabricio;3330;
Mais Você;PAGSEGURO;Ação;Thalita Morete;3330;
Mais Você;PAGSEGURO;Ação;Ana Maria Braga;3330;
Mais Você;123 MILHAS;Ação;Ana Maria Braga;3330;
Mais Você;SKY;Ação;Ana Maria Braga;4330;
Mais Você;ROMMANEL;Ação;Ana Maria Braga;3330;
Mais Você;YPE;Ação;Ana Maria Braga ;6383;
Mais Você;KWAI;Ação;Ana Maria Braga e Ju Massaoka;16000;
Mais Você;OTICAS DINIZ;Ação;Ana Maria Braga;7104;
Mais Você;SADIA;Ação;Ana Maria Braga;40100;
Mais Você;PAGSEGURO;Ação;Talitha Morete;3330;
Mais Você;123 MILHAS;Ação;Talitha Morete e Fabrício Battaglini;3330;
Mais Você;KWAI;Ação; Ju Massaoka_ Talita Morete e Fabricio Bataglini;16000;
Mais Você;AMERICANAS;Ação;fabricio Bataglini e Talita Morete;3330;
Mais Você;YPE;Ação;Fabricio Bataglini e Talita Morete;6383;
Mestre do Sabor;SEARA;Ação;Claude e Batista;60000;
Mestre do Sabor;SEARA;Ação;Claude e Batista;60000;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique;60000;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique;60000;
Mestre do Sabor;AMERICANAS;Ação;Monique e Rafa;29600;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique;60000;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique. ;60000;
Mestre do Sabor;AMERICANAS;Ação;Monique e Leo;29600;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;SEARA;Ação;Claude e Kátia;60000;
Mestre do Sabor;AMERICANAS;Ação;Claude e Batista;29600;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;SEARA;Ação;Claude_ Monique e Batista;60000;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;NATURA;Ação;Monique;43290;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique;60000;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;SEARA;Ação;Claude e Rafa;60000;
Mestre do Sabor;AMERICANAS;Ação;Claude e Katia;66600;
Mestre do Sabor;SEARA;Ação;Claude_ Batista e Monique;60000;
Mestre do Sabor;DELICIA;Ação;Claude e Batista;37000;
Mestre do Sabor;SEARA;Ação;Claude ;60000;
No limite;ITAU;Ação;ANDRÉ MARQUES;133200;
No limite;AMAZON;Ação;ANDRÉ MARQUES;133200;
No limite;SKOL;Ação;ANDRÉ MARQUES;133200;
No limite;REXONA;Ação;ANDRÉ MARQUES;160950;
No limite;ITAU;Ação;ANDRÉ MARQUES;133200;
No limite;SKOL;Ação;ANDRÉ MARQUES;133200;
No limite;HOTEIS COM;Ação;ANDRÉ MARQUES;133200;
No limite;REXONA;Ação;ANDRÉ MARQUES;160950;
No limite;HYPERA PHARMA;Ação;ANDRÉ MARQUES;133200;
No limite;IFOOD;Ação;ANDRÉ MARQUES;133200;
No limite;HYPERA PHARMA;Ação;ANDRÉ MARQUES;133200;
No limite;ITAU;Ação;ANDRÉ MARQUES;133200;
No limite;HOTEIS COM;Ação;ANDRÉ MARQUES;133200;
No limite;REXONA;Ação;ANDRÉ MARQUES;160950;
No limite;SKOL;Ação;ANDRÉ MARQUES;133200;
No limite;CLARO;Ação;ANDRÉ MARQUES;133200;
No limite;REXONA;Ação;ANDRÉ MARQUES;277500;
No limite;VISUALIZAÇÃO _ AÇÂO ;Ação ;RAFAEL INFANTI ;5550;
O Reality Que Eu Vivo;SKOL;Patrocínio;Rafael Infante;355200;
O Trio (Ivete_ Claudia E Você);KOLESTON;Patrocínio;Ivete Sangalo e Claudia Leite; -   ;
O Trio (Ivete_ Claudia E Você);MCCAIN;Patrocínio;Ivete Sangalo e Claudia Leite; -   ;
O Trio (Ivete_ Claudia E Você);RIACHUELO;Patrocínio;Ivete Sangalo e Claudia Leite; -   ;
ORÇAMENTO;GM;Ação;Stephanie Ribeiro;1392306;399600
ORÇAMENTO;FORD;Ação;Rodrigo Hilbert;195243;
ORÇAMENTO;VOLVO;Ação;João Vicente;71933;250000
ORÇAMENTO;PRUDENTIAL;AÇÃO;Astrid/Fabio Porchat/João Vicente/Emicida/Bosco;340600;815000
ORÇAMENTO;WESTWING;Ação;Astrid/Pity/Monica e Gaby Amarantos;89022;182040
Papo De Segunda;HYPERA PHARMA;Ação;Emicida_ Porchat_ João Vicente e Chico Bosco;130980;
PRÊMIO SIM;LOREAL;Ação;Thelminha;6200;
Programete GNT;BRF;Break;Felipe Bronze;849184;
Programete GNT;BOTICARIO;Break;Pitty;111000;110000
QHEEP?;SPOTIFY;Ação;Fabio Porchat;121830;
QHEEP?;SPOTIFY;Ação;Fabio Porchat; -   ;
Que História É Essa Porchat;GM;Ação;Fábio Porchat;500000;945000
Que Marravilha!;IFOOD;Ação;Claude e Batista;6200;
Que Marravilha!;SEARA;Ação;Claude Troigros e Batista;63714;155400
Saia Justa;VEJA;Ação;Astrid_ Pitty_ Djamilla_ Gaby Amarantos e Veronica;86025;
Saia Justa;VEJA;Ação;Astrid_ Pitty_ Monica_ Gaby Amarantos e Rodrigo Pinto;73260;
Saia Justa;BRASTEMP;Ação;Astrid_ Pitty_ Monica_ Gaby Amarantos e Chico Bosco;73260;
Se Joga;IFOOD;Ação;Fernanda Gentil e Tati Machado;2220;
Se Joga;HAVAIANAS;Ação;Fernanda Gentil e Deborah Secco;60000;
Se Joga;EUDORA;Ação;Fernanda Gentil e Tati Machado;4440;
Se Joga;NINHO;Ação;Fernanda Gentil;3330;
Se Joga;GETNET;Ação;Fernanda Gentil;2220;
Se Joga;GETNET;Ação;Fernanda Gentil;2220;
Se Joga;IFOOD;Ação;Fernanda Gentil e Tati Machado;2220;
Talk Show Jojo Toddynho ;EMBELEZE;Patrocínio;Jojo Toddynho;11400;
Tempero de Família;EISENBAHN;Ação;Rodrigo Hilbert;6200;
The Masked Singer;ALIEXPRESS;Menção;Ivete Sangalo;316130;
The Voice +;AMERICANAS;Ação;Thalita Rebouças e André Marques;44400;
The Voice +;AGIBANK;Ação;Thalita Rebouças e André Marques;83250;
The Voice +;AMERICANAS;Ação;Thalita Rebouças e André Marques;44400;
The Voice Kids;ACHEFARM;Ação;Márcio _ Thalita;36000;
The Voice Kids;UNIVERSAL PICTURES INTERNATION;Ação;Márcio _ Thalita;22200;
The Voice Kids;ACHEFARM;Ação;Márcio _ Thalita;33300;
The Voice Kids;ACHEFARM;Ação;Márcio _ Thalita;36000;
The Voice Kids;ACHEFARM;Ação;Márcio _ Thalita;33300;
The Voice Kids;FISK;Ação;Márcio _ 1 tecnico;16650;20000
The Voice Kids;SHOPEE;Ação;Márcio _ Thalita;66600;
The Voice Kids;ACHEFARM;Ação;Márcio _ Thalita;33300;
The Voice Kids;TANG;Ação;Márcio _ 1 tecnico;61050;60000
The Voice Kids;TANG;Ação;Márcio _ Thalita _ 1 técnico;66600;20000
The Voice Kids;OREO;Ação;Márcio _ convidado;77700;25000
TVZ;COCA COLA;Ação;Ferrugem e Lexa;6200;
TVZ;C E A;Ação;Ferrugem e Gil do Vigor;28860;
TVZ;HERSHEY S;Ação;Ferrugem;13550;
Um lugar ao sol;CAOA;Ação;Cauã Reymond_ Aline Moraes;31913;
Um lugar ao sol;CASAS BAHIA;Ação;Andreia Horta _ Aquecim. com Marieta Severo e Ju Colombo;46931;
Um lugar ao sol;CASAS BAHIA;Ação;Cauã Reymond_ Juan Paiva _ FUNCIONÁRIA RH (?);12488;
Um lugar ao sol;STONE;Ação;Marieta Severo_ Andreia Horta_ Danton Melo _ Aquecimento com Estela Freitas_ Ju Colombo _ PARTICIPAÇÃO;9713;
Um lugar ao sol;STONE;Ação;Andreia Horta_ Marieta Severo;8714;
Um lugar ao sol;STONE;Visualização;Andreia Horta_ Ju Colombo;7909;
